Title,Topic,Subtopic,Audience,Age_Group,Source_Organisation,URL,Format,Easy_Read_Quality,Published_Date,Date_Checked,Download_Allowed,Licence_Notes,NHS_Relevant,CAMHS_Relevant,Access_Level,Clinical_Context,Audience_Type,Accessibility_Format,Source_Type,Featured,Notes
Having an EEG (Easy Read),NHS Access,Tests and scans,Children and young people; parents/carers; clinicians,Children and young people,Great Ormond Street Hospital for Children NHS Foundation Trust,https://www.gosh.nhs.uk/documents/11645/Having_an_EEG_FINAL_Jul20.pdf,PDF,Clear,2020-07,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,NHS Navigation,Young People,Easy Read,NHS Trust,True,Open-access GOSH Easy Read PDF explaining EEG testing; useful for procedural preparation and anxiety reduction.
How to take liquid medicine (Easy Read),Medication,Taking medicines,Children and young people; parents/carers; clinicians,Children and young people,Great Ormond Street Hospital for Children NHS Foundation Trust,https://www.gosh.nhs.uk/documents/7365/How_to_take_liquid_medicine_ER0048_Apr20.pdf,PDF,Clear,2020-04,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Medication,Young People,Easy Read,NHS Trust,True,Open-access GOSH Easy Read PDF with practical steps for taking liquid medicine safely.
How to take tablets or capsules (Easy Read),Medication,Taking medicines,Children and young people; parents/carers; clinicians,Children and young people,Great Ormond Street Hospital for Children NHS Foundation Trust,https://www.gosh.nhs.uk/documents/7367/How_to_take_tablets_or_capsules_ER0049_Apr20.pdf,PDF,Clear,2020-04,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Medication,Young People,Easy Read,NHS Trust,True,Open-access GOSH Easy Read PDF explaining how to take tablets or capsules.
How to use an inhaler (Easy Read),Medication,Using inhalers,Children and young people; parents/carers; clinicians,Children and young people,Great Ormond Street Hospital for Children NHS Foundation Trust,https://www.gosh.nhs.uk/documents/11234/How_to_use_an_inhaler_ER0330_Apr20.pdf,PDF,Clear,2020-04,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Medication,Young People,Easy Read,NHS Trust,False,Open-access GOSH Easy Read PDF explaining inhaler use; useful for general paediatric and comorbidity support.
CNWL Crisis card (easy read),Mental Health,Crisis planning,Adults; carers; clinicians,Adults,Central and North West London NHS Foundation Trust,https://www.cnwl.nhs.uk/download_file/view/417/479,PDF,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Crisis,Patients,Easy Read,NHS Trust,True,Open-access CNWL Easy Read crisis card; adult-facing but potentially useful for safety planning concepts in CAMHS adaptation.
CNWL Single Point of Access leaflet (easy read),Mental Health,Accessing urgent mental health help,Adults; carers; clinicians,Adults,Central and North West London NHS Foundation Trust,https://www.cnwl.nhs.uk/download_file/view/418/479,PDF,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Crisis,Patients,Easy Read,NHS Trust,True,Open-access CNWL Easy Read SPA leaflet; service-specific but useful model for accessible crisis/service access information.
CNWL Mental Health Act Section 2 (easy read),Consent_Capacity,Mental Health Act rights,Patients; carers; clinicians,Adults,Central and North West London NHS Foundation Trust,https://www.cnwl.nhs.uk/download_file/view/1679/479,PDF,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Legal/Rights,Patients,Easy Read,NHS Trust,True,Open-access CNWL Easy Read rights information for detention under MHA Section 2; adult-facing but relevant to inpatient legal-rights resource mapping.
CNWL Anxiety (easy read),Mental Health,Anxiety,Patients; carers; clinicians,Adults,Central and North West London NHS Foundation Trust,https://www.cnwl.nhs.uk/download_file/view/1674/479,PDF,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,Potentially,Open,General Mental Health,Patients,Easy Read,NHS Trust,True,Open-access CNWL Easy Read anxiety leaflet; adult-facing but adaptable for accessible psychoeducation.
CNWL Autism (easy read),Autism,Autism information,Autistic people; carers; clinicians,Adults,Central and North West London NHS Foundation Trust,https://www.cnwl.nhs.uk/download_file/view/1673/479,PDF,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Neurodevelopmental,Patients,Easy Read,NHS Trust,True,Open-access CNWL Easy Read autism leaflet; relevant for neurodevelopmental resource mapping and CAMHS adaptation.
Aripiprazole Easy Read medication leaflet,Medication,Aripiprazole,Patients; carers; clinicians,Adults,CNWL SPECTROM,https://www.cnwl.nhs.uk/spectrom/easy-read-medication-leaflets,Resource page,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Medication,Patients,Easy Read,Professional Collaboration,True,Open-access medication resource page containing Aripiprazole Easy Read leaflet; psychotropic medication relevant to LD/autism and CAMHS prescribing discussions.
Benzodiazepines Easy Read medication leaflet,Medication,Benzodiazepines,Patients; carers; clinicians,Adults,CNWL SPECTROM,https://www.cnwl.nhs.uk/spectrom/easy-read-medication-leaflets,Resource page,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Medication,Patients,Easy Read,Professional Collaboration,True,Open-access medication resource page containing Benzodiazepines Easy Read leaflet; relevant to acute anxiety/agitation prescribing discussions.
Fluoxetine Easy Read medication leaflet,Medication,Fluoxetine,Patients; carers; clinicians,Adults,CNWL SPECTROM,https://www.cnwl.nhs.uk/spectrom/easy-read-medication-leaflets,Resource page,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Medication,Patients,Easy Read,Professional Collaboration,True,Open-access medication resource page containing Fluoxetine Easy Read leaflet; relevant to depression/anxiety prescribing discussions.
Risperidone Easy Read medication leaflet,Medication,Risperidone,Patients; carers; clinicians,Adults,CNWL SPECTROM,https://www.cnwl.nhs.uk/spectrom/easy-read-medication-leaflets,Resource page,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Medication,Patients,Easy Read,Professional Collaboration,True,Open-access medication resource page containing Risperidone Easy Read leaflet; relevant to antipsychotic prescribing discussions in LD/autism and CAMHS.
Sertraline Easy Read medication leaflet,Medication,Sertraline,Patients; carers; clinicians,Adults,CNWL SPECTROM,https://www.cnwl.nhs.uk/spectrom/easy-read-medication-leaflets,Resource page,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Medication,Patients,Easy Read,Professional Collaboration,True,Open-access medication resource page containing Sertraline Easy Read leaflet; relevant to depression/anxiety prescribing discussions.
NHS 111 Wales Mental Health Easy Read,Mental Health,Mental health information,Public; patients; carers,All ages,NHS 111 Wales,https://111.wales.nhs.uk/easyreads/easyread.aspx,Resource collection,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,Potentially,Open,General Mental Health,All,Easy Read,NHS National,True,Open-access NHS 111 Wales Easy Read Health A-Z entry for mental health.
NHS 111 Wales Medicines Easy Read,Medication,Medicines information,Public; patients; carers,All ages,NHS 111 Wales,https://111.wales.nhs.uk/easyreads/easyread.aspx,Resource collection,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Medication,All,Easy Read,NHS National,True,Open-access NHS 111 Wales Easy Read Health A-Z entry for medicines.
Macmillan Easy Read Cancer Information,NHS Access,Cancer information and support,Patients; families; carers,Adults,Macmillan Cancer Support,https://www.macmillan.org.uk/cancer-information-and-support/get-help/translations-and-other-formats/easy-read-cancer-information,Resource collection,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,Potentially,Open,Physical Health,Families,Easy Read,Charity,True,Open-access collection of Easy Read cancer booklets; useful for comorbidity family information and accessible physical health psychoeducation.
What is cancer? Easy Read booklet,NHS Access,Cancer information,Patients; families; carers,Adults,Macmillan Cancer Support,https://www.macmillan.org.uk/cancer-information-and-support/get-help/translations-and-other-formats/easy-read-cancer-information,Resource page,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,Potentially,Open,Physical Health,Patients,Easy Read,Charity,False,Open-access Easy Read booklet listed by Macmillan explaining what cancer is.
Seeing the doctor Easy Read booklet,NHS Access,Seeing a doctor,Patients; families; carers,Adults,Macmillan Cancer Support,https://www.macmillan.org.uk/cancer-information-and-support/get-help/translations-and-other-formats/easy-read-cancer-information,Resource page,Clear,Unknown,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,Potentially,Open,NHS Navigation,Patients,Easy Read,Charity,False,Open-access Easy Read booklet listed by Macmillan about seeing the doctor when worried about cancer.
